music_role,count,percentage
music-researcher,28,33.7%
musician-performer,27,32.5%
sound-engineer,17,20.5%
composer-songwriter,4,4.8%
audiologist-audio-researcher,2,2.4%
music-producer,2,2.4%
listener,1,1.2%
musicologist,1,1.2%
music-teacher-educator,1,1.2%
